tree,n_simulations,alpha_mse,alpha_rmse,alpha_mae,alpha_correlation,rho_mse,rho_rmse,rho_mae,rho_correlation
OVERALL,5290,0.0044326114263705104,0.06657785988127367,0.042609393194707,0.9927277452415226,0.0006858990191304349,0.02618967390271278,0.018298499054820415,0.9953094230208616
BBS11002_8,50,0.003940862874000006,0.06277629229255266,0.04376660000000003,0.9935990789779926,0.0006412913880000002,0.02532373171552724,0.016440000000000003,0.9961948255001941
BBS11005_14,50,0.0031887084080000007,0.05646864978020991,0.0396248,0.9901323378484839,0.0003594580619999999,0.01895937926199062,0.012791800000000004,0.9975459238555516
BBS11006_8,50,0.002762036171999999,0.05255507750921883,0.037612,0.9966242056949475,0.000407864292,0.020195650323770215,0.016056400000000005,0.997531066848277
BBS11007_9,50,0.0025694470839999987,0.05068971378889408,0.03261240000000001,0.9956939327691494,0.00037675465799999995,0.019410168932804266,0.014453800000000008,0.997375598921696
BBS11011_5,50,0.003118661592,0.055844978216487824,0.041303599999999996,0.9955596969073635,0.0006865320279999996,0.026201756200682418,0.020866799999999994,0.9953574044014487
BBS11013_5,50,0.004203726341999998,0.06483614996281009,0.04708539999999999,0.9934298882072313,0.0003929353800000003,0.01982259771069373,0.015562000000000006,0.9977897885928978
BBS11014_6,50,0.011757369559999993,0.10843140486040008,0.0691972,0.986883442013476,0.0007359981259999998,0.027129285394200855,0.022931399999999994,0.9947280908928309
BBS11016_8,50,0.0025096072679999986,0.05009598055732614,0.03428239999999999,0.9958626718450139,0.0006095195639999999,0.024688450012100797,0.0193824,0.9957159867863588
BBS11018_14,50,0.001366985572,0.036972767978608254,0.024938,0.9977915681315626,0.0002830186519999999,0.01682315820528357,0.012289999999999994,0.9978109341835913
BBS11019_10,50,0.007350205529999998,0.08573333966433361,0.0563158,0.9881407267222589,0.0006111603140000001,0.024721656781049286,0.0192798,0.9957722845996663
BBS11020_9,50,0.003957759148000001,0.06291072363277982,0.040974800000000006,0.9929482523174756,0.00048749104799999997,0.02207919944200876,0.017327600000000002,0.9970476674843854
BBS11023_7,50,0.004336741123999998,0.0658539378017746,0.046022,0.9919088350083638,0.0005166350439999999,0.02272960721174037,0.016309999999999998,0.9970177288110131
BBS11026_7,50,0.005249749932,0.07245515807725493,0.04467880000000001,0.9920807702760401,0.0003919951600000001,0.01979886764438815,0.015598399999999998,0.9978468656666911
BBS11027_7,50,0.007504293216000001,0.08662732372640863,0.054645599999999996,0.9880652286555852,0.0007255932899999995,0.026936838901400428,0.021031799999999986,0.9947495159494251
BBS11028_10,50,0.0013196780099999999,0.03632737273737257,0.02576819999999999,0.9977266286536585,0.000294884392,0.01717219822853207,0.013916,0.9981047814658481
BBS11030_14,50,0.002623801346000002,0.051223054828856134,0.03512940000000002,0.9955418911877246,0.0004006247800000003,0.020015613405539194,0.014038400000000006,0.9976480733107629
BBS11031_11,50,0.0019287064100000021,0.04391704008696399,0.02835300000000001,0.9973042741852336,0.00032182529399999994,0.017939489792076026,0.014780199999999997,0.9974808623888569
BBS11032_8,50,0.0011715766940000008,0.03422830252875536,0.026386200000000005,0.9973733365594063,0.0005244540859999999,0.02290096255618964,0.018054999999999995,0.9960443117240705
BBS11033_11,50,0.002537652988000002,0.050375122709527986,0.03496480000000001,0.9961691155069129,0.000515816518,0.022711594351784287,0.016802600000000004,0.9964109725122784
BBS11034_8,50,0.003592973101999999,0.05994141391392097,0.0397966,0.9934452792043061,0.0002674077660000001,0.01635260731504307,0.012935000000000004,0.9981416510681292
BBS11035_5,50,0.005179083402000001,0.0719658488590248,0.05119380000000001,0.9926386391139874,0.0007417050200000003,0.02723426187727511,0.020496400000000005,0.9947813718483068
BBS11036_8,50,0.00316113362,0.056223959483479996,0.038452400000000005,0.99548416844397,0.000724419366,0.026915039773331192,0.021737400000000004,0.9944145874959202
BBS11037_5,50,0.003952749060000002,0.06287089199303603,0.0431152,0.9937866264717081,0.0006605988139999999,0.025702116916705518,0.019130199999999997,0.9949548765569739
BBS11038_8,50,0.0013199504479999996,0.03633112230581378,0.027464,0.9979832296620169,0.00056410144,0.02375081977532565,0.019280000000000005,0.9949625312847248
BBS12001_11,50,0.004145302200000001,0.06438402130963863,0.04715119999999999,0.9935065631457314,0.0004448318040000002,0.021091036105416922,0.017297600000000007,0.9971144495722574
BBS12002_6,50,0.008192166152,0.09051058585602018,0.065916,0.986487249512078,0.0020983130040000005,0.04580734661601783,0.032356,0.9835973700643523
BBS12003_8,50,0.006663771805999999,0.08163192883914969,0.053867000000000005,0.9903083517523695,0.0011257318259999998,0.0335519273067882,0.025627399999999988,0.991836282385565
BBS12004_15,50,0.002960651341999999,0.05441186765770863,0.036378999999999995,0.995847732675378,0.00047066570000000007,0.021694831181643247,0.017205200000000004,0.9968847132810494
BBS12005_9,50,0.008542177587999997,0.09242390160559116,0.06347119999999999,0.9872860336571574,0.001366825942,0.03697060916457829,0.0280774,0.9915857396661567
BBS12007_8,50,0.0031755913719999983,0.05635238568153081,0.041045999999999985,0.995555049694328,0.0009375671159999997,0.03061971776486517,0.022130799999999996,0.9948739218349822
BBS12008_13,50,0.004871977700000001,0.0697995537235017,0.0473816,0.9936548511769852,0.0005522025180000003,0.023498989722964693,0.018861000000000006,0.9965209262661959
BBS12009_5,50,0.008037315619999996,0.08965107707105362,0.05882719999999999,0.9889079849835021,0.0014633703020000002,0.03825402334395691,0.0298114,0.9923918355650283
BBS12010_7,50,0.012723760664000005,0.11279964833278518,0.07492000000000003,0.9802542657440148,0.0011738895859999996,0.03426207212064092,0.02650179999999999,0.9913867256350888
BBS12011_12,50,0.002212550702000003,0.04703775825865857,0.03347300000000002,0.9957871558533742,0.0004014984520000003,0.020037426281835705,0.01553080000000001,0.9972256963743249
BBS12013_8,50,0.006602900788,0.08125823520111669,0.049673999999999996,0.9898780116531914,0.000803947432,0.02835396677715483,0.022251199999999995,0.9956967388232851
BBS12014_9,50,0.004777785822,0.06912152936676097,0.050568999999999996,0.9936530952628425,0.0005007547080000002,0.02237754919556653,0.017388400000000002,0.996048042217826
BBS12015_12,50,0.003976358282000001,0.06305837202148498,0.042972199999999995,0.9913432677626511,0.0008419833900000001,0.029016950046481454,0.020751000000000006,0.9936920424456515
BBS12016_5,50,0.011730488013999998,0.10830737746801922,0.0728274,0.9814057924349193,0.001300613598,0.03606402082408449,0.029226199999999997,0.9886932793763992
BBS12017_7,50,0.004535109528000001,0.0673432218415484,0.05294560000000001,0.9914470529855797,0.0007897928640000003,0.028103253619465494,0.0208636,0.9956855189477292
BBS12019_5,50,0.013857179116,0.1177165201490428,0.0748992,0.9833671489725281,0.002472847418,0.04972773288618736,0.0345546,0.9858948476663677
