filename,num_taxa,msa_length,median_seq_length
10000_NT_AL_AA.fasta.zip,175,494,477
10001_NT_AL_AA.fasta.zip,180,250,246.0
10002_NT_AL_AA.fasta.zip,188,414,395.0
10004_NT_AL_AA.fasta.zip,184,754,743.0
10005_NT_AL_AA.fasta.zip,186,319,312.0
10006_NT_AL_AA.fasta.zip,184,508,508.0
10007_NT_AL_AA.fasta.zip,186,288,288.0
10008_NT_AL_AA.fasta.zip,187,106,99
10009_NT_AL_AA.fasta.zip,184,701,669.0
1000_NT_AL_AA.fasta.zip,174,927,902.0
100101267_NT_AL_AA.fasta.zip,108,1333,1196.0
10010_NT_AL_AA.fasta.zip,189,441,424
100113407_NT_AL_AA.fasta.zip,185,132,132
10011_NT_AL_AA.fasta.zip,179,234,220
100125288_NT_AL_AA.fasta.zip,175,292,249
100126572_NT_AL_AA.fasta.zip,137,212,205
100127206_NT_AL_AA.fasta.zip,185,195,190
100127983_NT_AL_AA.fasta.zip,174,126,117.0
100128071_NT_AL_AA.fasta.zip,179,139,124
100128327_NT_AL_AA.fasta.zip,186,185,181.0
100128569_NT_AL_AA.fasta.zip,179,223,197
100128731_NT_AL_AA.fasta.zip,164,37,37.0
100128908_NT_AL_AA.fasta.zip,140,730,689.0
100128927_NT_AL_AA.fasta.zip,163,437,410
100129271_NT_AL_AA.fasta.zip,165,602,233
100129361_NT_AL_AA.fasta.zip,166,66,65.0
100129480_NT_AL_AA.fasta.zip,185,216,215
100129654_NT_AL_AA.fasta.zip,176,173,165.0
100129669_NT_AL_AA.fasta.zip,185,226,224
100129792_NT_AL_AA.fasta.zip,182,269,254.0
100129924_NT_AL_AA.fasta.zip,170,221,217.0
100130274_NT_AL_AA.fasta.zip,178,541,343.0
100130301_NT_AL_AA.fasta.zip,175,169,158
100130348_NT_AL_AA.fasta.zip,188,116,116.0
100130519_NT_AL_AA.fasta.zip,183,303,291
100130613_NT_AL_AA.fasta.zip,118,312,290.0
100130705_NT_AL_AA.fasta.zip,185,184,176
100130742_NT_AL_AA.fasta.zip,178,354,347.0
100130771_NT_AL_AA.fasta.zip,129,128,128
100130827_NT_AL_AA.fasta.zip,160,383,349.0
100130890_NT_AL_AA.fasta.zip,182,143,139.0
100130933_NT_AL_AA.fasta.zip,150,46,46.0
100130958_NT_AL_AA.fasta.zip,153,223,188
100130988_NT_AL_AA.fasta.zip,178,447,435.5
100131017_NT_AL_AA.fasta.zip,176,1484,951.0
100131137_NT_AL_AA.fasta.zip,73,94,94
100131187_NT_AL_AA.fasta.zip,178,121,107.0
100131211_NT_AL_AA.fasta.zip,182,419,401.0
100131244_NT_AL_AA.fasta.zip,178,413,382.0
100131378_NT_AL_AA.fasta.zip,175,212,190
100131390_NT_AL_AA.fasta.zip,170,625,483.0
100131755_NT_AL_AA.fasta.zip,162,5230,2220.0
100131801_NT_AL_AA.fasta.zip,187,80,74
100131897_NT_AL_AA.fasta.zip,187,550,535
100132074_NT_AL_AA.fasta.zip,177,610,558
100132146_NT_AL_AA.fasta.zip,147,78,77
100132916_NT_AL_AA.fasta.zip,183,163,160
100132963_NT_AL_AA.fasta.zip,148,114,91.0
100133315_NT_AL_AA.fasta.zip,53,401,371
100133941_NT_AL_AA.fasta.zip,74,83,75.0
100134934_NT_AL_AA.fasta.zip,175,121,119
100137047_NT_AL_AA.fasta.zip,128,316,316.0
100137049_NT_AL_AA.fasta.zip,116,789,778.0
10013_NT_AL_AA.fasta.zip,182,1483,1134.5
100141515_NT_AL_AA.fasta.zip,136,211,196.0
10014_NT_AL_AA.fasta.zip,184,1153,1109.0
10015_NT_AL_AA.fasta.zip,187,901,871
100169851_NT_AL_AA.fasta.zip,150,101,95.0
10016_NT_AL_AA.fasta.zip,187,199,188
100170765_NT_AL_AA.fasta.zip,181,161,126
100170841_NT_AL_AA.fasta.zip,165,411,379
100188893_NT_AL_AA.fasta.zip,176,74,74.0
10018_NT_AL_AA.fasta.zip,181,220,193
100191040_NT_AL_AA.fasta.zip,140,383,340.5
10019_NT_AL_AA.fasta.zip,184,625,553.0
1001_NT_AL_AA.fasta.zip,186,834,813.0
10020_NT_AL_AA.fasta.zip,190,726,722.0
10021_NT_AL_AA.fasta.zip,174,1284,1187.0
10022_NT_AL_AA.fasta.zip,165,145,134
10024_NT_AL_AA.fasta.zip,182,1072,688.0
10025_NT_AL_AA.fasta.zip,179,830,825
10026_NT_AL_AA.fasta.zip,184,393,382.0
100271715_NT_AL_AA.fasta.zip,184,903,868.0
100271849_NT_AL_AA.fasta.zip,100,391,367.5
100272147_NT_AL_AA.fasta.zip,173,70,68
100287171_NT_AL_AA.fasta.zip,155,490,471
100287284_NT_AL_AA.fasta.zip,182,349,327.0
100287718_NT_AL_AA.fasta.zip,183,202,195
100287898_NT_AL_AA.fasta.zip,172,1099,1054.0
100288072_NT_AL_AA.fasta.zip,175,960,508
100288797_NT_AL_AA.fasta.zip,184,163,151.0
100288814_NT_AL_AA.fasta.zip,29,202,199
100289255_NT_AL_AA.fasta.zip,44,79,79.0
100289635_NT_AL_AA.fasta.zip,131,765,666
1002_NT_AL_AA.fasta.zip,179,910,891
100303755_NT_AL_AA.fasta.zip,180,78,77.0
100310846_NT_AL_AA.fasta.zip,180,423,418.0
100316904_NT_AL_AA.fasta.zip,184,329,283.0
100329135_NT_AL_AA.fasta.zip,159,127,110
10036_NT_AL_AA.fasta.zip,185,993,935
100381270_NT_AL_AA.fasta.zip,134,995,979.0
10038_NT_AL_AA.fasta.zip,185,567,550
10039_NT_AL_AA.fasta.zip,180,559,525.5
1003_NT_AL_AA.fasta.zip,187,811,779
10040_NT_AL_AA.fasta.zip,188,492,472.0
100423062_NT_AL_AA.fasta.zip,27,195,193
10042_NT_AL_AA.fasta.zip,189,649,601
10043_NT_AL_AA.fasta.zip,188,522,490.0
10044_NT_AL_AA.fasta.zip,185,904,853
10045_NT_AL_AA.fasta.zip,184,604,559.0
10046_NT_AL_AA.fasta.zip,177,921,720
10047_NT_AL_AA.fasta.zip,111,146,142
10048_NT_AL_AA.fasta.zip,182,541,538.0
100499483_NT_AL_AA.fasta.zip,177,1752,1590
10049_NT_AL_AA.fasta.zip,176,325,284.5
1004_NT_AL_AA.fasta.zip,168,796,789.0
100500938_NT_AL_AA.fasta.zip,133,65,64
100505478_NT_AL_AA.fasta.zip,142,125,115.5
100505573_NT_AL_AA.fasta.zip,140,175,152.0
100505591_NT_AL_AA.fasta.zip,179,269,256
100505741_NT_AL_AA.fasta.zip,177,443,423
100505753_NT_AL_AA.fasta.zip,167,1311,478
100505876_NT_AL_AA.fasta.zip,161,80,80
100505989_NT_AL_AA.fasta.zip,16,41,40.0
100505993_NT_AL_AA.fasta.zip,167,178,137
100506013_NT_AL_AA.fasta.zip,173,54,54
100506049_NT_AL_AA.fasta.zip,185,268,262
100506127_NT_AL_AA.fasta.zip,53,162,154
100506374_NT_AL_AA.fasta.zip,65,165,131
100506564_NT_AL_AA.fasta.zip,184,555,372.5
100506581_NT_AL_AA.fasta.zip,157,237,168
100506658_NT_AL_AA.fasta.zip,185,550,522
100507003_NT_AL_AA.fasta.zip,173,681,514
100507027_NT_AL_AA.fasta.zip,159,46,46
100507050_NT_AL_AA.fasta.zip,168,405,385.0
100507055_NT_AL_AA.fasta.zip,144,155,128.5
100507096_NT_AL_AA.fasta.zip,186,220,217.0
100507290_NT_AL_AA.fasta.zip,161,1314,1038
100507341_NT_AL_AA.fasta.zip,178,97,95.0
100507421_NT_AL_AA.fasta.zip,170,298,294.0
100507537_NT_AL_AA.fasta.zip,117,36,35
100507588_NT_AL_AA.fasta.zip,165,311,234
100507650_NT_AL_AA.fasta.zip,187,311,295
100507747_NT_AL_AA.fasta.zip,141,267,184
10050_NT_AL_AA.fasta.zip,139,503,494
10051_NT_AL_AA.fasta.zip,188,1299,1287.0
100526771_NT_AL_AA.fasta.zip,127,87,83
100528020_NT_AL_AA.fasta.zip,139,419,413
10052_NT_AL_AA.fasta.zip,179,402,396
100533177_NT_AL_AA.fasta.zip,167,340,321
10053_NT_AL_AA.fasta.zip,186,425,424.0
10054_NT_AL_AA.fasta.zip,188,646,640.0
10055_NT_AL_AA.fasta.zip,188,400,346.0
10056_NT_AL_AA.fasta.zip,189,590,589
10057_NT_AL_AA.fasta.zip,185,1442,1437
10058_NT_AL_AA.fasta.zip,187,852,842
10059_NT_AL_AA.fasta.zip,182,749,748.0
1005_NT_AL_AA.fasta.zip,184,788,785.0
10060_NT_AL_AA.fasta.zip,186,1590,1549.0
10062_NT_AL_AA.fasta.zip,188,456,446.0
10063_NT_AL_AA.fasta.zip,188,64,63.0
100652824_NT_AL_AA.fasta.zip,179,1261,1138
10066_NT_AL_AA.fasta.zip,187,368,353
10068_NT_AL_AA.fasta.zip,177,186,169
10069_NT_AL_AA.fasta.zip,185,293,290
10072_NT_AL_AA.fasta.zip,186,747,737.0
10073_NT_AL_AA.fasta.zip,184,369,359.0
10075_NT_AL_AA.fasta.zip,181,4476,4415
10076_NT_AL_AA.fasta.zip,185,1448,1436
10077_NT_AL_AA.fasta.zip,179,255,231
10078_NT_AL_AA.fasta.zip,174,366,305.5
10079_NT_AL_AA.fasta.zip,182,1026,1025.0
1007_NT_AL_AA.fasta.zip,178,792,789.0
10081_NT_AL_AA.fasta.zip,175,528,481
100820829_NT_AL_AA.fasta.zip,172,485,466.0
10082_NT_AL_AA.fasta.zip,182,563,555.0
10083_NT_AL_AA.fasta.zip,189,875,850
10084_NT_AL_AA.fasta.zip,185,469,255
10085_NT_AL_AA.fasta.zip,184,482,480.0
100861412_NT_AL_AA.fasta.zip,169,309,299
100862671_NT_AL_AA.fasta.zip,178,110,109.0
10086_NT_AL_AA.fasta.zip,188,558,493.0
100874261_NT_AL_AA.fasta.zip,61,176,93
10087_NT_AL_AA.fasta.zip,186,628,624.0
100885848_NT_AL_AA.fasta.zip,154,158,155.0
10089_NT_AL_AA.fasta.zip,185,319,307
1008_NT_AL_AA.fasta.zip,96,792,785.0
10090_NT_AL_AA.fasta.zip,183,432,402
10092_NT_AL_AA.fasta.zip,177,154,151
10093_NT_AL_AA.fasta.zip,178,168,168.0
10094_NT_AL_AA.fasta.zip,183,179,178
10095_NT_AL_AA.fasta.zip,182,385,372.0
10096_NT_AL_AA.fasta.zip,176,488,418.0
10097_NT_AL_AA.fasta.zip,188,402,399.0
10098_NT_AL_AA.fasta.zip,183,270,268
100996492_NT_AL_AA.fasta.zip,120,59,59.0
100996521_NT_AL_AA.fasta.zip,69,55,55
100996939_NT_AL_AA.fasta.zip,171,120,114
10099_NT_AL_AA.fasta.zip,178,251,251.0
1009_NT_AL_AA.fasta.zip,175,796,796
100_NT_AL_AA.fasta.zip,187,370,356
10100_NT_AL_AA.fasta.zip,186,229,220.0
10101_NT_AL_AA.fasta.zip,181,269,266
10102_NT_AL_AA.fasta.zip,175,332,324
10103_NT_AL_AA.fasta.zip,186,248,240.0
10105_NT_AL_AA.fasta.zip,184,224,204.0
10106_NT_AL_AA.fasta.zip,179,271,271
10109_NT_AL_AA.fasta.zip,189,300,300
1010_NT_AL_AA.fasta.zip,162,797,794.0
10110_NT_AL_AA.fasta.zip,181,367,367
10111_NT_AL_AA.fasta.zip,183,1312,1311
10112_NT_AL_AA.fasta.zip,189,923,889
10113_NT_AL_AA.fasta.zip,147,433,417
10114_NT_AL_AA.fasta.zip,186,1245,1215.0
10116_NT_AL_AA.fasta.zip,185,629,627
10117_NT_AL_AA.fasta.zip,188,1263,1131.5
10120_NT_AL_AA.fasta.zip,187,376,376
10121_NT_AL_AA.fasta.zip,190,376,376.0
10123_NT_AL_AA.fasta.zip,186,192,192.0
10124_NT_AL_AA.fasta.zip,172,200,200.0
10125_NT_AL_AA.fasta.zip,186,797,787.0
10126_NT_AL_AA.fasta.zip,181,103,102
10127_NT_AL_AA.fasta.zip,184,692,684.0
10128_NT_AL_AA.fasta.zip,188,1416,1391.0
10129_NT_AL_AA.fasta.zip,184,3029,3009.5
1012_NT_AL_AA.fasta.zip,180,708,705.0
10130_NT_AL_AA.fasta.zip,181,445,437
10131_NT_AL_AA.fasta.zip,186,711,699.0
10133_NT_AL_AA.fasta.zip,186,599,569.0
10134_NT_AL_AA.fasta.zip,185,249,245
10135_NT_AL_AA.fasta.zip,186,493,491.0
10137_NT_AL_AA.fasta.zip,54,1037,931.0
10138_NT_AL_AA.fasta.zip,154,204,204.0
10139_NT_AL_AA.fasta.zip,185,210,201
1013_NT_AL_AA.fasta.zip,186,795,779.0
10140_NT_AL_AA.fasta.zip,178,360,344.0
101410538_NT_AL_AA.fasta.zip,113,115,55
10142_NT_AL_AA.fasta.zip,183,4106,3873
10143_NT_AL_AA.fasta.zip,190,196,196.0
10144_NT_AL_AA.fasta.zip,182,983,943.0
10146_NT_AL_AA.fasta.zip,181,475,465
10147_NT_AL_AA.fasta.zip,184,1173,1080.0
10148_NT_AL_AA.fasta.zip,183,231,214
10149_NT_AL_AA.fasta.zip,181,1049,1014
1014_NT_AL_AA.fasta.zip,188,835,822.0
10150_NT_AL_AA.fasta.zip,118,397,391.0
10152_NT_AL_AA.fasta.zip,188,555,533.0
10153_NT_AL_AA.fasta.zip,188,1102,1052.0
10154_NT_AL_AA.fasta.zip,161,1599,1562
10155_NT_AL_AA.fasta.zip,172,866,812.0
10157_NT_AL_AA.fasta.zip,186,931,924.0
10158_NT_AL_AA.fasta.zip,188,125,114.0
10159_NT_AL_AA.fasta.zip,180,352,350.0
1015_NT_AL_AA.fasta.zip,188,841,830.0
10160_NT_AL_AA.fasta.zip,186,1074,1042.0
10162_NT_AL_AA.fasta.zip,184,490,487.0
10163_NT_AL_AA.fasta.zip,184,519,497.5
10164_NT_AL_AA.fasta.zip,183,394,378
10165_NT_AL_AA.fasta.zip,187,680,675
10166_NT_AL_AA.fasta.zip,172,303,300.0
10169_NT_AL_AA.fasta.zip,178,133,133.0
1016_NT_AL_AA.fasta.zip,164,791,790.0
10170_NT_AL_AA.fasta.zip,189,326,319
10171_NT_AL_AA.fasta.zip,184,373,373.0
10174_NT_AL_AA.fasta.zip,188,721,656.0
10175_NT_AL_AA.fasta.zip,184,147,144.0
10178_NT_AL_AA.fasta.zip,172,2735,2732.0
10179_NT_AL_AA.fasta.zip,187,285,265
1017_NT_AL_AA.fasta.zip,186,376,346.0
10180_NT_AL_AA.fasta.zip,186,1164,1119.0
10181_NT_AL_AA.fasta.zip,185,823,815
10184_NT_AL_AA.fasta.zip,185,239,227
10186_NT_AL_AA.fasta.zip,180,203,200.0
10188_NT_AL_AA.fasta.zip,186,1109,1057.0
10189_NT_AL_AA.fasta.zip,176,269,255.0
10190_NT_AL_AA.fasta.zip,189,229,226
101927581_NT_AL_AA.fasta.zip,184,156,153.0
101928108_NT_AL_AA.fasta.zip,29,112,109
101928147_NT_AL_AA.fasta.zip,175,258,251
101928527_NT_AL_AA.fasta.zip,151,54,54
101928601_NT_AL_AA.fasta.zip,183,623,386
101928603_NT_AL_AA.fasta.zip,182,214,209.0
101928991_NT_AL_AA.fasta.zip,144,297,252.0
101929355_NT_AL_AA.fasta.zip,80,92,92.0
101929469_NT_AL_AA.fasta.zip,161,295,280
101929726_NT_AL_AA.fasta.zip,161,88,84
101929926_NT_AL_AA.fasta.zip,139,158,135
101929989_NT_AL_AA.fasta.zip,52,81,77.0
10193_NT_AL_AA.fasta.zip,189,316,316
10194_NT_AL_AA.fasta.zip,178,1143,1056.0
10195_NT_AL_AA.fasta.zip,188,445,438.0
10196_NT_AL_AA.fasta.zip,186,550,527.0
10197_NT_AL_AA.fasta.zip,181,257,254
10198_NT_AL_AA.fasta.zip,187,1231,1157
10199_NT_AL_AA.fasta.zip,179,741,663
1019_NT_AL_AA.fasta.zip,186,304,303.0
101_NT_AL_AA.fasta.zip,180,906,775.5
10200_NT_AL_AA.fasta.zip,185,163,160
10201_NT_AL_AA.fasta.zip,167,187,186
10202_NT_AL_AA.fasta.zip,63,269,261
10203_NT_AL_AA.fasta.zip,184,474,462.0
10204_NT_AL_AA.fasta.zip,185,127,127
10205_NT_AL_AA.fasta.zip,184,222,215.0
10206_NT_AL_AA.fasta.zip,190,412,407.0
10207_NT_AL_AA.fasta.zip,179,1959,1880
10208_NT_AL_AA.fasta.zip,185,1152,1062
10209_NT_AL_AA.fasta.zip,168,120,113.0
1020_NT_AL_AA.fasta.zip,188,294,292.0
10210_NT_AL_AA.fasta.zip,187,1094,1038
10211_NT_AL_AA.fasta.zip,185,432,427
10212_NT_AL_AA.fasta.zip,182,428,422.0
10213_NT_AL_AA.fasta.zip,189,310,310
102157402_NT_AL_AA.fasta.zip,177,175,172
10215_NT_AL_AA.fasta.zip,173,364,323
10216_NT_AL_AA.fasta.zip,187,3363,1086
10217_NT_AL_AA.fasta.zip,179,255,250
10218_NT_AL_AA.fasta.zip,187,347,344
10219_NT_AL_AA.fasta.zip,146,209,186.0
1021_NT_AL_AA.fasta.zip,186,344,326.0
10220_NT_AL_AA.fasta.zip,167,426,401
10221_NT_AL_AA.fasta.zip,184,392,370.0
10223_NT_AL_AA.fasta.zip,186,375,290.0
10225_NT_AL_AA.fasta.zip,177,655,554
10226_NT_AL_AA.fasta.zip,184,513,430.0
