gene,raxml_alpha
283659,0.375942
221692,0.243651
1407,0.182735
55888,0.907722
23347,0.371302
9126,0.066207
6528,0.457754
54961,0.491459
55958,0.020137
80821,0.324168
6710,0.393108
7343,0.1675
57140,0.261788
4846,0.289391
162333,1.407756
29068,0.238091
23154,0.169694
90799,0.769188
54476,0.413755
10291,0.143729
116113,0.260557
9700,0.762502
93166,0.236348
64921,0.297985
2588,0.429556
10810,0.259637
4842,0.273811
3556,0.383399
153222,0.268426
5562,0.274034
7159,0.364762
200008,0.548277
64864,0.368424
6242,0.502043
6905,0.744828
2591,0.290924
84441,0.709402
9736,0.165635
79411,0.475882
92799,0.274306
9734,0.30339
4921,0.193775
6519,0.645576
2746,0.197572
1063,1.31742
374920,0.64693
64762,0.299652
10081,0.496329
996,0.155065
23526,0.511848
4040,0.166963
81832,0.269859
51339,0.510483
8852,0.878731
6829,0.15008
55714,0.193044
55609,0.725821
150726,0.205397
92105,0.227554
23637,0.188199
221264,0.775233
84865,1.068179
7270,0.772777
23649,0.589704
954,0.681833
221656,0.310718
2153,0.698415
22882,0.432128
9001,2.012503
4798,0.387955
6640,0.449573
6927,0.299064
51729,0.184885
25794,0.51621
285555,1.144444
23223,0.496539
3055,0.305716
55132,0.656945
22807,0.211265
220416,1.206572
5998,0.414424
57096,1.129959
84858,0.220396
26064,0.552454
9782,0.206033
4125,0.496854
55879,1.080987
9696,0.721536
9113,0.279924
4209,0.315895
23315,0.190811
5045,0.281383
6714,0.136445
283748,0.880496
10046,1.242349
377841,0.802637
1059,0.400403
5062,0.144571
7158,0.566868
9277,0.501057
10181,0.161133
256158,0.703448
168002,1.004528
56927,0.630706
84458,0.751318
84632,0.503605
79848,0.70094
1143,0.442669
10893,0.176608
203238,0.624264
9632,0.336673
3929,1.099687
9717,0.499925
55534,0.585321
148979,0.648987
6340,0.453249
9665,0.413498
10683,0.812189
64005,0.360903
158038,0.246808
10472,0.203495
58513,0.310751
10131,0.412678
129285,0.3634
57488,0.329424
5241,0.543994
3036,0.286624
9649,0.190453
5981,0.538971
387712,0.786108
8320,0.340033
85478,0.569225
8200,0.324968
84812,0.600887
4641,0.242274
6873,0.16693
440073,0.354223
4683,0.861427
9344,0.210129
8038,0.505118
64419,0.326401
8315,0.215705
254065,0.322348
23403,0.264312
375775,0.611675
220972,0.663756
5551,0.786157
9910,0.258413
460,0.199916
4621,0.150968
240,0.275528
57621,0.22348
54764,0.194935
93589,0.512086
166348,0.482261
161394,1.903439
4595,0.659235
285973,0.714825
83857,0.40788
57540,0.293321
56929,0.313027
81620,0.641224
55206,0.17134
2733,0.59245
57542,0.27711
7586,0.321723
3710,0.220654
169044,0.520628
8036,0.220648
11128,0.156596
7128,0.428832
56339,0.130629
9129,0.020125
9020,0.486483
114827,0.996959
11276,0.502264
644041,1.341511
9247,0.841183
51056,0.409604
90007,0.342856
389384,2.259607
4163,0.24685
51735,0.312905
29066,0.455422
9819,0.538634
5251,0.280998
2956,0.413054
30011,0.294273
1137,0.402539
4007,0.329918
5558,0.446114
339451,0.223314
9989,0.264172
81786,0.431584
342184,0.580259
10495,0.294222
56666,0.290195
2194,0.555999
4604,0.263768
2564,1.190126
54102,0.643545
56265,0.352837
221830,0.591829
2178,1.10923
3984,0.254608
114815,0.232146
2898,0.020121
1014,0.866674
51588,0.206155
125058,0.50639
84624,0.654046
120071,0.51327
2048,0.135174
7064,0.299268
284071,0.986326
87178,0.361055
9147,0.33974
2982,0.349587
79807,0.490992
8289,0.270684
154313,0.563012
22803,0.225936
4691,0.417064
154810,0.432305
9831,0.536025
8449,0.239331
81493,0.704956
5587,0.279791
92749,0.646741
6535,0.226254
47,0.171155
23228,0.204133
84258,0.248554
4790,0.339242
10454,0.285491
6337,0.495122
327,0.447798
79654,0.265404
285175,0.197468
9187,0.806405
11282,0.237504
28231,0.63368
10163,0.319191
5208,0.22976
999,0.442457
5917,0.337229
55153,0.323601
51092,0.206795
340359,0.53203
85452,0.868293
7922,0.451506
84660,0.694097
2491,1.006662
51720,0.916954
5429,0.604635
10111,0.368605
8242,0.200367
1912,0.366717
4012,0.557508
151887,0.551971
3679,0.435184
8785,0.479921
375387,0.624832
375616,0.779591
84948,0.470691
85302,0.986087
2886,0.397559
23247,0.655769
54700,0.435225
309,0.296678
9682,0.237234
10020,0.211626
4638,0.419367
26054,0.642446
27161,0.02012
9411,0.58125
10615,1.171656
23418,1.277864
8888,0.680538
9139,0.224999
121551,0.233828
8886,0.268908
11180,0.539176
9100,0.381112
54549,0.294773
2571,0.233971
24148,0.128114
23091,0.36269
5311,0.435745
22868,1.133481
1638,0.513339
54878,0.199769
2193,0.331352
7554,0.542659
847,0.351772
54881,0.523114
284098,0.786366
5593,0.274778
6522,0.196917
341208,0.433255
90956,0.570645
26053,0.347127
7299,0.568
30836,0.897938
24144,0.248441
1808,0.162017
6558,0.198406
5284,0.978717
2327,0.801788
7844,0.236201
2261,0.296874
2296,0.292186
197258,0.522975
10849,1.561247
6850,0.233378
1108,0.119097
51592,0.164958
80055,0.533371
1291,0.411822
4744,0.670929
140803,0.577043
127254,1.305254
151246,1.74244
30844,0.15519
6730,0.250968
55689,0.38195
80169,0.951072
5822,0.426805
247,0.795997
4036,0.604525
153745,0.941453
50488,0.178237
25976,0.384129
5108,0.484995
9283,0.58867
41,0.22164
55002,0.333683
22893,0.402186
4327,0.581887
81704,0.382324
374977,0.866987
112,0.221646
54414,0.621151
29994,0.390266
3748,0.232699
93100,0.513072
83473,0.436612
10057,0.295805
85413,1.277035
10626,0.765011
266727,0.275196
23094,0.340126
84229,0.584694
9780,0.455435
50809,0.389796
3685,0.305543
57555,0.181052
57700,0.268465
4486,0.682823
6301,0.257833
81839,0.350955
54520,0.354829
2034,0.421975
343578,1.160734
10858,0.62325
1588,0.548919
84859,0.443577
54536,0.232925
1642,0.020124
80271,0.617405
4355,0.185112
9648,0.789705
3674,0.66662
353189,0.562485
79658,0.29129
79786,0.323656
8632,0.349299
390874,0.393784
1953,0.702689
9159,0.36323
10603,0.45182
10087,0.192255
60560,0.18905
1140,0.413319
9462,0.205739
22992,0.17188
9842,0.506937
11059,0.257086
22859,0.146871
4168,0.692727
9817,0.237194
65124,0.682033
10568,0.52995
26524,0.323711
54677,0.567514
23426,0.232549
3454,1.302612
5313,0.337081
79858,0.789792
80301,0.665957
124930,0.200795
3099,0.251211
5298,0.175506
7745,0.359653
9891,0.251456
154197,0.578982
57732,0.412725
7360,0.13437
147,0.268266
114990,0.575697
4928,0.385685
2038,0.919983
6668,0.246158
55283,0.466398
157855,0.650687
57489,1.236815
163702,1.31454
23623,0.575915
57479,0.261753
2889,0.294482
26103,0.854858
23028,0.122732
146664,0.340799
4607,0.416286
57495,0.294669
84455,0.727261
5016,0.989458
345193,0.930096
153572,0.37662
204474,0.902209
394,0.304596
57579,0.486315
23024,0.290341
7316,0.47969
57231,0.325519
7037,0.616165
84873,0.871168
79574,0.89333
6238,0.550022
4849,0.179147
54212,0.279497
81492,0.569676
23329,0.334606
1621,0.57205
79874,0.444993
10054,0.195844
9333,0.647674
11245,0.376559
10848,0.374162
26354,0.683657
10466,0.401383
5825,0.252433
25792,0.777628
55571,0.150124
3298,0.239021
8456,0.573722
2986,1.398195
2065,0.330197
3890,0.685241
54014,0.410999
575,0.27482
10155,0.226148
55055,0.817231
4091,0.33925
26074,0.581251
203859,0.494655
4780,0.566361
11190,0.842219
80339,0.996014
259232,0.12004
23203,0.369051
27352,0.240416
7375,0.366378
84627,1.64307
9498,0.219106
1288,0.598903
27165,0.273681
10198,0.925239
778,0.289802
154214,0.391095
150946,0.35377
64925,0.735983
59350,0.551739
221472,0.498603
10575,0.176516
2043,0.142999
56259,0.197736
55107,0.28778
150709,0.603049
667,0.46327
388939,1.512857
84225,0.539473
51602,0.211893
